_id,startTime,endTime,instrument,instrument_id,ins_id_ex
65868f78f30b23a817da9e6b,2014-05-26,2014-06-25,AL,AL1408,al1408
65868f78f30b23a817da9e6c,2014-06-26,2014-07-23,AL,AL1409,al1409
65868f78f30b23a817da9e6d,2014-07-24,2014-08-27,AL,AL1410,al1410
65868f78f30b23a817da9e6e,2014-08-28,2014-09-18,AL,AL1411,al1411
65868f78f30b23a817da9e6f,2014-09-19,2014-10-22,AL,AL1412,al1412
65868f78f30b23a817da9e70,2014-10-23,2014-11-28,AL,AL1501,al1501
65868f78f30b23a817da9e71,2014-12-01,2014-12-18,AL,AL1502,al1502
65868f78f30b23a817da9e72,2014-12-19,2015-01-27,AL,AL1503,al1503
65868f78f30b23a817da9e73,2015-01-28,2015-02-27,AL,AL1504,al1504
65868f78f30b23a817da9e74,2015-03-02,2015-03-23,AL,AL1505,al1505
65868f78f30b23a817da9e75,2015-03-24,2015-04-23,AL,AL1506,al1506
65868f78f30b23a817da9e76,2015-04-24,2015-05-27,AL,AL1507,al1507
65868f78f30b23a817da9e77,2015-05-28,2015-06-25,AL,AL1508,al1508
65868f78f30b23a817da9e78,2015-06-26,2015-07-22,AL,AL1509,al1509
65868f78f30b23a817da9e79,2015-07-23,2015-08-31,AL,AL1510,al1510
65868f78f30b23a817da9e7a,2015-09-01,2015-09-22,AL,AL1511,al1511
65868f78f30b23a817da9e7b,2015-09-23,2015-10-22,AL,AL1512,al1512
65868f78f30b23a817da9e7c,2015-10-23,2015-11-23,AL,AL1601,al1601
65868f78f30b23a817da9e7d,2015-11-24,2015-12-22,AL,AL1602,al1602
65868f78f30b23a817da9e7e,2015-12-23,2016-01-28,AL,AL1603,al1603
65868f78f30b23a817da9e7f,2016-01-29,2016-02-29,AL,AL1604,al1604
65868f78f30b23a817da9e80,2016-03-01,2016-03-31,AL,AL1605,al1605
65868f78f30b23a817da9e81,2016-04-01,2016-04-27,AL,AL1606,al1606
65868f78f30b23a817da9e82,2016-04-28,2016-06-02,AL,AL1607,al1607
65868f78f30b23a817da9e83,2016-06-03,2016-07-04,AL,AL1608,al1608
65868f78f30b23a817da9e84,2016-07-05,2016-08-02,AL,AL1609,al1609
65868f78f30b23a817da9e85,2016-08-03,2016-09-02,AL,AL1610,al1610
65868f78f30b23a817da9e86,2016-09-05,2016-09-29,AL,AL1611,al1611
65868f78f30b23a817da9e87,2016-09-30,2016-11-02,AL,AL1612,al1612
65868f78f30b23a817da9e88,2016-11-03,2016-11-24,AL,AL1701,al1701
65868f78f30b23a817da9e89,2016-11-25,2017-01-03,AL,AL1702,al1702
65868f78f30b23a817da9e8a,2017-01-04,2017-02-08,AL,AL1703,al1703
65868f78f30b23a817da9e8b,2017-02-09,2017-03-06,AL,AL1704,al1704
65868f78f30b23a817da9e8c,2017-03-07,2017-04-12,AL,AL1705,al1705
65868f78f30b23a817da9e8d,2017-04-13,2017-05-09,AL,AL1706,al1706
65868f78f30b23a817da9e8e,2017-05-10,2017-06-07,AL,AL1707,al1707
65868f78f30b23a817da9e8f,2017-06-08,2017-07-05,AL,AL1708,al1708
65868f78f30b23a817da9e90,2017-07-06,2017-08-03,AL,AL1709,al1709
65868f78f30b23a817da9e91,2017-08-04,2017-08-25,AL,AL1710,al1710
65868f78f30b23a817da9e92,2017-08-28,2017-09-27,AL,AL1711,al1711
65868f78f30b23a817da9e93,2017-09-28,2017-10-27,AL,AL1712,al1712
65868f78f30b23a817da9e94,2017-10-30,2017-12-01,AL,AL1801,al1801
65868f78f30b23a817da9e95,2017-12-04,2018-01-03,AL,AL1802,al1802
65868f78f30b23a817da9e96,2018-01-04,2018-02-06,AL,AL1803,al1803
65868f78f30b23a817da9e97,2018-02-07,2018-03-01,AL,AL1804,al1804
65868f78f30b23a817da9e98,2018-03-02,2018-04-10,AL,AL1805,al1805
65868f78f30b23a817da9e99,2018-04-11,2018-05-02,AL,AL1806,al1806
65868f78f30b23a817da9e9a,2018-05-03,2018-06-07,AL,AL1807,al1807
65868f78f30b23a817da9e9b,2018-06-08,2018-07-03,AL,AL1808,al1808
65868f78f30b23a817da9e9c,2018-07-04,2018-08-08,AL,AL1809,al1809
65868f78f30b23a817da9e9d,2018-08-09,2018-09-03,AL,AL1810,al1810
65868f78f30b23a817da9e9e,2018-09-04,2018-10-11,AL,AL1811,al1811
